action,label,regret,note,trial,optimal_action,Q_value_0,Q_value_1,Q_value_2,Q_value_3,Q_value_4,U_value_0,U_value_1,U_value_2,U_value_3,U_value_4,UCB_value_0,UCB_value_1,UCB_value_2,UCB_value_3,UCB_value_4
4,1,-0.4,action = 4,93,4,0.4564,0.43801,0.44426,0.46279,0.53735,0.11809508563397214,0.19042248665475203,0.13464909892841165,0.14193260461590282,0.056899652796835704,0.4800190171267944,0.47609449733095044,0.4711898197856823,0.49117652092318054,0.5487299305593671
4,1,-0.4,action = 4,94,4,0.47513,0.46889,0.45045,0.46279,0.53116,0.11823433430048408,0.1906470182446841,0.134807866817627,0.14209996065634453,0.05646482516436871,0.4987768668600968,0.5070194036489368,0.4774115733635254,0.49120999213126887,0.5424529650328737
4,1,-0.4,action = 4,95,4,0.45655,0.45031,0.43182,0.44449,0.55574,0.11837194819227181,0.19086891384120094,0.13496477077709135,0.14226535194242484,0.05604109395206766,0.4802243896384544,0.48848378276824017,0.45881295415541823,0.472943070388485,0.5669482187904136
4,1,-0.4,action = 4,96,4,0.45035,0.43247,0.40405,0.43252,0.55546,0.11850796377567552,0.1910882322444731,0.1351198523848248,0.14242882230122264,0.055627985993209984,0.4740515927551351,0.47068764644889466,0.431073970476965,0.46100576446024455,0.566585597198642
4,1,-0.4,action = 4,97,4,0.46889,0.44426,0.4444,0.46265,0.55565,0.11864241632864887,0.1913050303384566,0.13527315186387842,0.14259041413155424,0.05522505600450868,0.49261848326572977,0.4825210060676913,0.4714546303727757,0.49116808282631086,0.5666950112009017
4,1,-0.4,action = 4,98,4,0.46884,0.43206,0.43173,0.46931,0.56199,0.11877533999142086,0.19151936317258275,0.13542470814009797,0.14275016846486147,0.05483188450812701,0.4925950679982842,0.47036387263451657,0.4588149416280196,0.49786003369297227,0.5729563769016254
4,1,-0.4,action = 4,99,4,0.48132,0.45035,0.42601,0.45669,0.58047,0.1189067678145003,0.19173128403916292,0.13557455889685696,0.14290812502290556,0.05444807593973894,0.5051013535629001,0.4886962568078326,0.4531249117793714,0.4852716250045811,0.5913596151879479
4,1,-0.4,action = 4,100,4,0.46968,0.45064,0.41522,0.47527,0.5801,0.11903673180418804,0.1919408445467747,0.1357227406269489,0.1430643222724662,0.05407325692328242,0.4934873463608376,0.4890281689093549,0.4423645481253898,0.5038828644544933,0.5909146513846565
4,0,0.6,action = 4,101,4,0.5,0.45035,0.43196,0.46265,0.59253,0.11916526296574964,0.19214809468987584,0.1358692886818115,0.14321879747722863,0.05370707469533688,0.5238330525931499,0.48877961893797517,0.4591338577363623,0.49129375949544574,0.6032714149390673
4,1,-0.4,action = 4,102,4,0.46889,0.4566,0.41976,0.46269,0.58657,0.11929239134439139,0.192353082914876,0.1360142373182467,0.14337158674703063,0.05334919566404035,0.49274847826887824,0.4950706165829752,0.44696284746364934,0.4913643173494061,0.5972398391328081
4,0,0.6,action = 4,103,4,0.48756,0.44426,0.42586,0.46889,0.58033,0.1194181460641715,0.19255585618287904,0.1361576197427861,0.14352272508462796,0.052999304089188085,0.5114436292128343,0.4827711712365758,0.45309152394855723,0.49759454501692557,0.5909298608178376
4,0,0.6,action = 4,104,4,0.48132,0.45035,0.43182,0.42586,0.60997,0.11954255536496985,0.19275646002929506,0.13629946815384306,0.14367224643012652,0.052657100871660624,0.505228511072994,0.48890129200585897,0.4590798936307686,0.4545944492860253,0.6205014201743322
4,1,-0.4,action = 4,105,4,0.45102,0.45105,0.41976,0.4566,0.60426,0.11966564663763109,0.19295493862050672,0.13643981378178185,0.14382018370321886,0.05232230244164635,0.4749531293275262,0.48964098772410136,0.4470479627563564,0.48536403674064377,0.6147244604883293
4,1,-0.4,action = 4,106,4,0.47513,0.46279,0.43806,0.45683,0.61036,0.11978744645738758,0.19315133480776225,0.13657868692702588,0.14396656884335385,0.05199463973627642,0.4990874892914775,0.5014202669615524,0.46537573738540516,0.4856233137686708,0.6207589279472553
4,1,-0.4,action = 4,107,4,0.48756,0.47513,0.43252,0.48147,0.64419,0.11990798061566213,0.19334569017845582,0.13671611699631825,0.14411143284795874,0.0516738572583027,0.5115415961231324,0.5137991380356912,0.45986322339926367,0.5102922865695918,0.6545247714516605
4,0,0.6,action = 4,108,4,0.43252,0.42695,0.427,0.44563,0.59849,0.12002727415034385,0.1935380451049456,0.13685213253724146,0.14425480580882596,0.0513597122083399,0.4565254548300688,0.4656576090209891,0.4543704265074483,0.4744809611617652,0.6087619424416679
4,1,-0.4,action = 4,109,4,0.45102,0.45697,0.42661,0.43407,0.61036,0.12014535137462301,0.19372843879104884,0.1369867612710944,0.14439671694676867,0.0510519736839774,0.4750490702749246,0.49571568775820973,0.45400735225421884,0.46294934338935373,0.6205703947367955
4,1,-0.4,action = 4,110,4,0.43844,0.4504,0.4267,0.46307,0.58587,0.12026223590446734,0.19391690931634586,0.13712003012422003,0.14453719464464285,0.050750421939759364,0.46249244718089344,0.4891833818632692,0.45412400602484404,0.49197743892892853,0.5960200843879518
4,1,-0.4,action = 4,111,4,0.46903,0.45655,0.45702,0.47041,0.63855,0.12037795068481452,0.19410349367841415,0.13725196525786934,0.1446762664788268,0.050454847702643836,0.4931055901369629,0.49537069873568285,0.48447039305157386,0.49934525329576535,0.6486409695405287
4,0,0.6,action = 4,112,4,0.45073,0.47537,0.41582,0.47537,0.65053,0.12049251801455263,0.19428822783310834,0.13738259209668366,0.1448139592492442,0.05016505153809503,0.47482850360291057,0.5142276455666217,0.44329651841933676,0.5043327918498488,0.6605630103076191
4,0,0.6,action = 4,113,4,0.44482,0.44454,0.42076,0.46927,0.62175,0.12060595957035483,0.194471146732992,0.1375119353558701,0.14495029900800935,0.04988084326244374,0.46894119191407097,0.4834342293465984,0.44826238707117405,0.4982600598016019,0.6317261686524888
4,0,0.6,action = 4,114,4,0.433,0.43234,0.40292,0.46349,0.60928,0.12071829642943013,0.1946522843640227,0.1376400190671417,0.14508531108677056,0.04960204139757964,0.457143659285886,0.47127045687280456,0.43044800381342835,0.49250706221735413,0.619200408279516
